ticker,name,industry,mcap,tier,quality,growth,structural,revision,valuation,rerating,score100,px,vs200,vs_hi2y,yoy3,accel,rev12m_g,eps4,eps_g,q_eps_yoy,roe,roic,gm_now,gm_chg,gm_5y_med,opm_chg,fcf_margin,ocf_ni,capex_g,capex_rev,nd_ebitda,cap_chg,pe,pe_pct5y,pe_p25,pe_p50,pe_p75,forward_pe,peg,eps_annual,eps_5y_med,cyclical_sector,cycle_peak_risk,normalized_eps,normalized_pe,gm_jump,eps_fy1,eps_fy2,eps_fy3,eps_source,eps_confidence,eps_cagr_3y,eps_rev_1m,eps_rev_3m,rev_source,analyst_up,analyst_down,next_platform_score,new_capacity_score,new_product_mix,order_visibility,tam_score,structural_score,structural_source,quali_filled,evidence_ok,sources,rerating_bm,rerating_nm,rerating_room,rerating_score,required_pe_for_2x,double_verdict,bear_target,base_target,bull_target,bear_upside,base_upside,bull_upside,down_up_ratio,scenario_source,reward_risk,doublebagger_base,doublebagger_bull,refresh_priority,refresh_reason,horizon_complete,gpt_action,evidence_count,fresh_evidence_count,avg_confidence,stale_ratio,evidence_coverage,why,risk,action_signal,signal_reason,held,holding_note,thesis_status,thesis_note
2330,台積電,半導體,583470.0,A,25,20,20,10,7,7.0,89.0,2460.0,22.2,-2.0,47.5,19.3,32.2,86.28,53.2,77.4,39.3,47.9,63.9,5.4,56.0,7.1,59.0,2.92,34.9,76.2,-0.54,-0.0,27.9,79.0,16.7,23.4,27.5,17.9,0.49,"{""2021"": 23.02, ""2022"": 39.2, ""2023"": 32.34, ""2024"": 45.26, ""2025"": 66.26}",39.2,False,False,39.2,62.8,7.9,137.21,172.01,221.5,manual:consensus T+3(2029E),verified,36.9,24.2,19.3,proxy,,,5,4,4,3,4,20,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://pr.tsmc.com/chinese/news/3326；https://investor.tsmc.com/english/quarterly-results/2026/q2；台積公司；TSMC Investor Relations,,,,7.0,22.2,合理(≤PE中位),3699.0,5183.0,6091.0,50.0,111.0,148.0,,manual,9.9,True,True,5,論點覆蓋不足,True,ADD,3,3,0.93,0.0,0.33,AI/HPC、N2與先進封裝持續提升產品組合與獲利能力，結構性需求可跨越單一景氣循環。、營收+48%、加速+19pp、ROE39%、FCF59%、結構20、翻倍PE合理,AI資本支出放緩、地緣政治、先進製程/封裝擴產過快或估值壓縮。,WATCH,證據不足/過期、量化達 ADD 門檻但缺新鮮證據→先補帳本,True,持1000股@2457.86，+0.1%，防守線2089,OK,
2360,致茂,其他電子,9933.0,A,25,18,20,10,3,8.0,84.0,2230.0,37.2,-14.3,127.1,34.3,74.1,39.29,137.5,162.4,54.4,44.3,60.9,-0.1,58.4,6.2,32.4,1.14,289.3,3.5,-0.36,-0.0,51.8,90.0,19.7,24.8,33.8,34.8,1.4,"{""2021"": 9.96, ""2022"": 12.14, ""2023"": 9.45, ""2024"": 12.49, ""2025"": 27.68}",12.14,False,False,12.14,183.7,2.5,64.05,76.43,76.43,manual:consensus T+2(2028E)代理,verified-T+2,24.8,24.9,34.3,proxy,,,5,4,4,3,4,20,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=9e6013dd-a061-4d3e-89d8-d2b274121ae9；https://news.cnyes.com/news/id/6590480；MoneyDJ；鉅亨網 FactSet；先探i投資《投資最錢線》SEMICON Taiwan 2026 展場直擊,,,,8.0,58.4,淘汰(PE不合理)(T+2代理),1446.0,1895.0,3294.0,-35.0,-15.0,48.0,,manual,0.0,False,False,7,論點覆蓋不足、缺2029E共識,False,HOLD,4,4,0.81,0.0,0.33,AI電源、SLT、burn-in、先進封裝與CPO測試形成多重設備成長曲線。、營收+127%、加速+34pp、ROE54%、FCF32%、結構20,PE位階90%、翻倍需PE過高、設備訂單認列波動、CPO量產遞延、估值位階偏高。,WATCH,Base<20%、證據不足/過期,False,,OK,
8210,勤誠,電腦及週邊,1660.0,A,23,20,19.0,5,9,8.0,84.0,937.0,-11.2,-39.1,58.9,26.0,56.1,38.45,77.6,61.6,42.0,64.1,31.6,3.5,24.5,3.1,19.0,2.12,84.6,13.7,-0.62,3.9,25.9,60.0,12.0,20.9,30.4,14.0,0.58,"{""2021"": 5.62, ""2022"": 8.32, ""2023"": 9.02, ""2024"": 16.05, ""2025"": 29.02}",9.02,False,False,9.02,103.9,7.1,66.9,73.45,73.45,manual:consensus T+2(2028E)代理,verified-T+2,24.1,-16.0,26.0,proxy,,,4.5,4,4,2.5,4,19.0,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://m.moneydj.com/f1a.aspx?a=aff09e00-ba1b-4d45-a053-7edd8b6643bc&c=MB07；https://gfe-desktop.cnyes.com/news/id/6567752?exp=b；MoneyDJ；鉅亨網 FactSet,,,,8.0,25.5,合理(≤PE p75)(T+2代理),825.0,1535.0,3246.0,-12.0,64.0,246.0,0.19,manual,5.35,False,True,7,論點覆蓋不足、缺2029E共識,False,HOLD,3,3,0.85,0.0,0.33,由伺服器機殼延伸液冷與整機櫃，產品ASP與可服務市場同步擴張。、營收+59%、加速+26pp、ROE42%、FCF19%、結構19、翻倍PE合理,機櫃專案遞延、新廠爬坡、客戶集中與競爭加劇。,WATCH,證據不足/過期、量化達 ADD 門檻但缺新鮮證據→先補帳本,False,,OK,
2421,建準,電子零組件,423.0,A,23,19,16.5,9,9,7.0,83.5,171.5,17.3,-6.4,21.7,8.5,22.9,9.62,60.9,76.6,27.4,52.9,31.8,2.1,27.2,2.6,17.3,2.38,84.0,12.2,-1.22,4.9,19.1,48.0,17.0,19.3,22.2,13.7,0.76,"{""2021"": 1.71, ""2022"": 4.34, ""2023"": 5.16, ""2024"": 5.46, ""2025"": 7.94}",5.16,False,False,5.16,33.2,4.6,12.56,14.47,15.8,proxy:raw41%→g1=31%衰減,proxy,18.0,15.7,8.5,proxy,,,4.0,3.0,3.5,2.0,4,16.5,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.youtube.com/watch?v=-G-PNEWMcXI；https://blog.fugle.tw/post/sunonwealth-analysi；https://vocus.cc/article/6a0015f8fd897800014508c8；YouTube 法說摘要；vocus 法說會整理 2026/05/21；富果直送 個股分析；vocus 法說會整理 2026/05/08；BigGo 財經 法說會摘要,,,,7.0,21.7,合理(≤PE p75)(proxy EPS)(T+2代理),201.0,305.0,454.0,17.0,78.0,165.0,,auto,9.9,False,True,3,,False,,16,8,0.72,0.5,0.67,AI伺服器散熱由風扇延伸冷板/CDU，若液冷案於2026-27放量，產品價值量將提高。｜建準由 PC/通用伺服器風扇廠轉型為 AI 伺服器全方位散熱供應商：2026Q1 營收 50.19 億(+20.6% YoY)、EPS 2.36，伺服器占營收 47.3%、AI 伺服器占 22.6%（其中 ASIC 專案占 63%）；水冷板 Q1 完成首批出貨、CDU 通過驗證，Q3 新一代 ASIC 水冷板與首創 800V HVDC 大型 EC 風扇（800mm）出貨，公司指引下半年「跳躍性成長」。Q2 營收 54.18 億(+16.2% YoY)、EPS 2.42，H1 EPS 4.78(+54% YoY)。2026 資本支出逾 15 億，其中約 12 億投入菲律賓新廠、其餘為惠州廠液冷設備。法人估 2026 EPS 約 9.3～11.8 元，目標價 175～200 元區間，仍屬中低本益比，具「風扇→液冷」重估空間。、ROE27%、FCF17%、結構16、翻倍PE合理,液冷專案延遲、風扇價格競爭、客戶導入不如預期；主要結構證據來自二手法說摘要。｜1) AI 伺服器訂單遞延：Q1 因記憶體/PCB/晶片供應不順約 11 億元訂單延至下半年，H2 放量能否兌現是關鍵；2) 液冷 2026 營收貢獻僅低個位數 %，重估仍偏題材，需等 2027 比重提升驗證；3) 水冷板/CDU 競爭者眾（奇鋐、雙鴻、高力等），建準為後進者，毛利與份額不確定；4) 菲律賓新廠 12 億元資本支出增加折舊與執行風險；5) GB300/Rubin 散熱價值量提升多為券商推估，公司未揭露 NVIDIA 平台具體份額；6) 客戶集中度未揭露。、上半年 AI 伺服器受記憶體、PCB 及晶片等零組件供應不順,HOLD,量化達 ADD 門檻但 EPS 為 proxy→需法人/研究 FY EPS,False,,OK,10 次預算用罄。BigGo 法說摘要與 Yahoo Q2 新聞抓取失敗（socket closed / 404），Q2 數字來自搜尋摘要。未查得 FactSet 2026-2029 EPS 中位數、EPS 1M/3M 修正幅度、客戶集中度與治理相關資訊；governance_score 因無證據留 null。eps_2026 為法人區間中值推算，非單一來源數字。
6197,佳必琪,電子零組件,286.0,A,24,19,18.5,9,5,7.0,82.5,308.0,40.6,-17.3,28.6,8.8,20.7,11.95,52.8,81.3,29.8,36.4,35.4,2.5,29.7,3.1,18.9,2.0,-67.5,4.6,-0.73,0.0,26.6,91.0,14.6,17.0,20.9,19.8,1.11,"{""2021"": 3.06, ""2022"": 3.59, ""2023"": 5.2, ""2024"": 8.69, ""2025"": 8.67}",5.2,False,False,5.2,59.2,5.7,15.56,17.91,19.54,proxy:raw41%→g1=30%衰減,proxy,17.8,28.5,8.8,proxy,,,4.5,3.0,4,3,4,18.5,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://ec.ltn.com.tw/article/breakingnews/5559417；https://tw.finance.yahoo.com/quote/6197/announcement；自由財經,,,,7.0,31.5,淘汰(PE不合理)(proxy EPS)(T+2代理),214.0,332.0,586.0,-31.0,8.0,90.0,3.89,auto,0.26,False,False,5,論點覆蓋不足,False,,3,3,0.82,0.0,0.33,1.6T loopback等高速互連產品獲美系客戶認證並出貨，訂單能見度可延伸至2028。、ROE30%、FCF19%、結構18,PE位階91%、翻倍需PE過高、產品認證/客戶集中、1.6T需求遞延、估值波動。,WATCH,Base<20%、證據不足/過期,False,,OK,
2345,智邦,通信網路,13889.0,A,23,16,20,8,7,8.0,82.0,2100.0,16.9,-23.0,63.1,2.8,77.0,63.65,105.1,119.5,58.9,72.2,18.6,-1.1,20.6,0.4,8.8,1.28,83.7,4.2,-0.46,0.1,33.0,73.0,25.9,30.1,33.3,18.3,0.51,"{""2021"": 8.44, ""2022"": 14.64, ""2023"": 15.99, ""2024"": 21.49, ""2025"": 47.13}",15.99,False,False,15.99,131.3,-2.0,114.84,160.55,160.55,manual:consensus T+2(2028E)代理,verified-T+2,36.1,7.2,24.1,manual,,,5,4,4,3,4,20,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=ff2903db-5649-4144-b03d-1b205d79afa5；https://news.cnyes.com/news/id/6580082；https://www.cnyes.com/twstock/foreignrating.aspx?code=2345；MoneyDJ；鉅亨網 FactSet,,,,8.0,26.2,合理(≤PE中位)(T+2代理),3775.0,5003.0,6855.0,80.0,138.0,226.0,,manual,9.9,True,True,7,論點覆蓋不足、缺2029E共識,False,ADD,3,3,0.9,0.0,0.33,AI網路從800G升級1.6T、OCS/CPO，頻寬升級與全球擴產形成多年成長路徑。、營收+63%、ROE59%、結構20、翻倍PE合理,AI CAPEX或1.6T/OCS導入延後、客戶集中與高預期估值。,WATCH,證據不足/過期、量化達 ADD 門檻但缺新鮮證據→先補帳本,True,持500股@2108，-0.4%，防守線1792,OK,
6782,視陽,生技醫療,142.0,A,24,19,17.5,8,8,5.0,81.5,229.0,22.6,-10.0,28.6,16.6,18.1,16.49,47.9,56.4,24.4,25.2,47.0,6.8,42.0,7.4,19.9,3.14,58.4,43.2,-0.03,0.0,13.9,10.0,16.1,23.5,30.7,12.6,1.26,"{""2022"": 11.1, ""2023"": 4.78, ""2024"": 10.1, ""2025"": 14.08}",10.6,False,False,10.6,21.6,5.0,18.14,19.96,21.96,manual:scenario base_eps_3y,verified,10.0,8.5,16.6,proxy,,,3.5,4,4,2.5,3.5,17.5,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=08e202c4-bc2b-4648-a04f-ea65d407e26a；https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=f26adab8-f249-4f50-b679-7f26edd3d2e8；https://news.cnyes.com/news/id/6577886；MoneyDJ；鉅亨網 FactSet；經濟日報；工商時報；富果直送 法說備忘錄；Goodinfo 公司基本資料；鉅亨網,,,,5.0,20.9,合理(≤PE中位)(T+2代理),354.0,516.0,674.0,54.0,125.0,194.0,,manual,9.9,True,True,3,,True,,16,13,0.77,0.19,1.0,"矽水膠彩片與產能擴充支援成長，訂單可見度2-3個月；屬消費醫材而非AI結構成長。｜矽水膠彩拋供不應求，月產能 4,900萬片→5,500萬(原Q3提前至Q2)→6,300萬(原2027Q1提前至2026Q4)，為公司史上最大擴產；彩拋占比由2025年約三成續升，2025毛利率45%(+6pp)、2026Q1再升至47%；日本占亞洲營收5-6成、30+客戶。2026 1-7月營收29.61億(+22.4%)，H1 EPS 8.45(Q2 4.63,+56% YoY)。股價229、近四季EPS 16.49、本益比約13.9倍，若2026E EPS 17.05成真僅約13.4倍，具重評空間。、加速+17pp、ROE24%、FCF20%、結構18、翻倍PE合理","消費需求波動、毛利率壓力、擴產後稼動率不足。｜1) 擴產至6,300萬片後稼動率能否維持9成（公司稱可維持），若彩拋需求反轉將出現稼動率／毛利率壓力；彩拋占比曾由三成降至兩成，波動大。2) 產地在馬來西亞，馬幣升值推升成本（歷史已發生）。3) 美國關稅使美國需求2025年走軟。4) 前十大客戶合計約七成營收，最大單一客戶約18%。5) 法人2026E EPS 16.57-17.05高於現行趨勢時需持續驗證下半年。、擴產同時面臨毛利率壓力，需觀察產品組合與稼動率。",ADD,分數/報酬/R/R/Revision/估值/證據全過,False,,OK,WebFetch 預算10次已用罄。未查得 2027-2029 法人預估與 EPS 修正趨勢（cnyes 頁面未顯示 FactSet 資料）。客戶集中度數據來自 2025/5 Genet 法說筆記（stale）。工商時報 5/16 全文 403，內容取自搜尋摘要。搜尋結果出現『2026 H1 累計 EPS 成長率 -23.34%』與 Q2 EPS +56% YoY 矛盾，疑為資料庫誤植，未採用。2026/5/26 董事全面改選（含獨董），未發現治理紅旗，但未能查驗內部人申讓明細。
2368,金像電,電子零組件,7225.0,A,20,20,19.5,7,6,8.0,80.5,1120.0,17.3,-24.6,81.0,22.5,69.7,28.5,119.2,166.7,42.0,51.7,34.7,4.9,27.2,5.4,2.4,1.41,41.1,21.0,-0.46,5.1,37.5,85.0,15.6,20.3,32.2,17.2,0.35,"{""2021"": 5.41, ""2022"": 8.89, ""2023"": 7.24, ""2024"": 11.54, ""2025"": 19.43}",8.89,False,False,8.89,126.0,7.5,65.11,95.07,95.07,manual:consensus T+2(2028E)代理,verified-T+2,49.4,7.0,9.4,manual,,,4.5,4,4,3,4,19.5,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=83b547b4-69fe-438a-af40-90d447e1bdd5；https://m.moneydj.com/f1a.aspx?a=18f05b5b-bc72-4906-81e7-df3358c1d13c&c=MB06；https://news.cnyes.com/news/id/6572173；MoneyDJ；鉅亨網 FactSet,,,,8.0,23.6,合理(≤PE p75)(T+2代理),1106.0,1930.0,4361.0,-1.0,72.0,289.0,0.02,manual,9.9,False,True,7,論點覆蓋不足、缺2029E共識,False,ADD,3,3,0.92,0.0,0.33,AI server與高速交換器PCB比重高，蘇州/泰國擴產支援2027後續需求。、營收+81%、加速+22pp、ROE42%、結構20、翻倍PE合理,PE位階85%、擴產快於需求、PCB景氣反轉、AI客戶集中及估值壓縮。,WATCH,證據不足/過期、量化達 ADD 門檻但缺新鮮證據→先補帳本,True,持300股@1121.59，-0.1%，防守線953,OK,
6442,光聖,通信網路,1604.0,A,23,19,17.5,10,4,7.0,80.5,1700.0,4.0,-27.7,55.6,21.2,30.5,35.65,121.8,331.2,34.9,50.5,59.0,1.8,36.3,4.8,47.0,2.52,-59.4,2.3,-2.39,6.4,51.9,61.0,19.1,42.6,60.4,33.5,1.35,"{""2021"": 1.56, ""2022"": 4.85, ""2023"": 2.53, ""2024"": 14.2, ""2025"": 23.48}",4.85,False,False,4.85,350.5,22.7,50.76,61.52,69.35,proxy:raw88%→g1=42%衰減,proxy,24.8,178.2,21.2,proxy,,,4.0,3.0,4,2.5,4,17.5,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=a3d9c0c7-a635-43e6-b35a-05e4ad59d36c；https://5850web.moneydj.com/z/zf/zufzVIP_C28BC0D7-2685-4C2A-BA61-6B0864497ACE_E_.djhtm；https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=329e72d0-f6e3-480c-a05c-37e816f05513；MoneyDJ,,,,7.0,49.0,合理(≤PE p75)(proxy EPS)(T+2代理),993.0,2954.0,6029.0,-42.0,74.0,255.0,0.56,auto,1.78,False,True,5,論點覆蓋不足,False,,2,2,0.78,0.0,0.33,高速光通訊產品組合升級、AI資料中心需求與CPO相關投資提供結構成長選項。、營收+56%、加速+21pp、ROE35%、FCF47%、結構18、翻倍PE合理,光通訊規格迭代快、客戶集中、CPO商業化時程不確定。,WATCH,證據不足/過期、量化達 ADD 門檻但缺新鮮證據→先補帳本,False,,OK,
6531,愛普*,半導體,1570.0,A,24,18,20,5,3,9.0,79.0,960.0,41.2,-18.8,118.3,20.0,89.5,17.38,350.3,,23.6,62.3,47.8,-0.7,45.8,4.5,81.6,3.22,147.2,2.1,-3.85,0.6,52.5,72.0,26.7,34.8,61.1,38.3,1.48,"{""2021"": 19.11, ""2022"": 12.08, ""2023"": 8.93, ""2024"": 9.73, ""2025"": 7.73}",9.73,False,False,9.73,98.7,2.0,25.07,30.61,34.68,proxy:raw119%→g1=44%衰減,proxy,25.9,,20.0,proxy,,,5,4,4,3,4,20,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.moneydj.com/KMDJ/news/newsviewer.aspx?a=3f11befd-e987-486b-b227-a032bdc8a87e；https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=8f799e68-f16c-47c2-ad3f-cce821b31e3f；https://m.moneydj.com/f1a.aspx?a=ecad430a-61f3-414d-a563-478e3a752a4b&c=MB06；MoneyDJ,,,,9.0,55.4,合理(≤PE p75)(proxy EPS)(T+2代理),694.0,1207.0,3147.0,-28.0,26.0,228.0,1.08,auto,0.93,False,True,3,,False,WATCH,3,3,0.88,0.0,0.5,IoTRAM、S-SiCap/IPD與VHM有機會把愛普由利基記憶體公司升級為AI/HPC記憶體與電源完整性平台。、營收+118%、加速+20pp、ROE24%、FCF82%、結構20、翻倍PE合理,VHM/IPD量產與客戶驗證風險高，缺乏可靠2029E法人共識。,HOLD,,False,,OK,
6805,富世達,電子零組件,1289.0,A,21,19,18.0,5,8,8.0,79.0,2265.0,35.2,-3.4,29.0,-39.4,53.9,46.75,123.6,157.1,44.0,,30.8,8.3,24.1,8.6,28.4,1.79,-31.9,5.5,-1.98,0.0,47.1,32.0,44.8,55.3,63.6,24.7,0.71,"{""2023"": 10.18, ""2024"": 17.9, ""2025"": 31.0}",17.9,False,False,17.9,126.5,6.7,91.64,114.19,114.19,manual:consensus T+2(2028E)代理,verified-T+2,34.7,33.5,-39.4,proxy,,,4.5,3.5,4,2.0,4,18.0,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.ftnn.com.tw/news/550847；https://news.cnyes.com/news/id/6559440；FTNN；鉅亨網 FactSet,,,,8.0,39.7,合理(≤PE中位)(T+2代理),5047.0,6315.0,7360.0,123.0,179.0,225.0,,manual,9.9,True,True,7,論點覆蓋不足、缺2029E共識,False,HOLD,2,2,0.85,0.0,0.17,QD液冷快接頭與伺服器滑軌帶動AI營收占比上升，產品組合由消費電子轉向資料中心。、ROE44%、FCF28%、結構18、翻倍PE合理,專案集中、液冷導入節奏、良率與高成長估值波動。,WATCH,證據不足/過期、量化達 ADD 門檻但缺新鮮證據→先補帳本,False,,OK,
8462,柏文,代碼37,117.0,A,24,17,17.0,6,10,5.0,79.0,164.5,13.4,-8.4,19.5,2.4,19.9,10.62,62.9,63.3,34.9,74.9,33.5,3.3,27.7,4.2,57.3,7.49,4.1,24.9,-0.3,1.3,15.8,5.0,22.8,31.3,52.4,11.9,0.66,"{""2021"": -1.85, ""2022"": 0.95, ""2023"": 1.5, ""2024"": 4.77, ""2025"": 8.49}",1.5,False,False,1.5,109.7,5.8,13.86,15.97,17.43,proxy:raw41%→g1=30%衰減,proxy,18.0,0.4,2.4,proxy,,,3.0,4,3.5,3,3.5,17.0,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://vocus.cc/article/6a4d1e2dfd89780001c926bf；https://news.cnyes.com/news/id/6572520；https://udn.com/news/story/7251/9691199；方格子法說摘要；時報資訊；鉅亨網；聯合新聞網；今周刊,,,,5.0,18.9,合理(≤PE中位)(proxy EPS)(T+2代理),207.0,546.0,1050.0,26.0,232.0,538.0,,auto,9.9,True,True,3,,False,,16,13,0.78,0.19,1.0,健身會員數成長與展店構成可複製成長模型， recurring membership 支撐可預測收入。｜台灣自營健身龍頭，2025 EPS 8.49（+79.8%），2026H1 EPS 5.68（稅後純益 +62.3%）、Q2 EPS 3.25 創單季新高；2026 年規劃新展 10 店、2027 年達百店；毛利率升至 33.57%、營益率 16.17%；同業（全真瑜珈、極限健身）退場、統一 BEING 規模小，市占持續集中；新品牌 SKlub（羽球/匹克球）、POWERWIND 服飾與全聯合作據點提供第二成長曲線；本益比約 17 倍、現金殖利率約 5%。、ROE35%、FCF57%、結構17、翻倍PE合理,"展店速度、人事租金成本、會員成長放緩。｜1) 新客獲取放緩：入會費收入年增由 20.4% 降至 2.3%；2) 教練課占比自 36.4%（2024）降至 32.8%（2026Q1），高單價二次消費動能轉弱；3) 自營重資產展店每店投資 5,000 萬–1.2 億元，新店折舊與人事拖累短期獲利；4) 股利配發率高（7.27 元/8.49 元≈86%），若擴張需資金可能影響配息；5) 法人 EPS 預估（FactSet）未查得，能見度依賴公司自述。、自營模式每店需投資 5,000 萬至 1.2 億元，相較同業",HOLD,量化達 ADD 門檻但 EPS 為 proxy→需法人/研究 FY EPS,False,,OK,預算 10 次用盡。FactSet/券商 EPS 預估未找到（鉅亨速報無柏文條目），eps_2026~2029 全部 null；未查到增資公告，董監持股 35.98% 來自搜尋摘要（未逐頁驗證）；customer_concentration 對 B2C 健身業不適用故為 null。會員數具體數字未公開，僅有「自 2022/5 起連續增加」。
1590,亞德客-KY,電機機械,2870.0,A,25,14,16.5,10,7,5.0,77.5,1370.0,15.5,-14.1,46.3,18.4,29.4,52.04,38.6,62.4,20.2,22.1,47.8,2.2,46.8,3.7,38.1,2.43,1.3,15.6,-0.43,0.0,26.8,47.0,23.8,27.3,31.0,20.1,1.1,"{""2021"": 33.67, ""2022"": 30.07, ""2023"": 34.83, ""2024"": 38.13, ""2025"": 42.01}",34.83,False,False,34.83,39.3,1.0,68.21,78.81,86.16,proxy:raw42%→g1=31%衰減,proxy,18.3,23.8,18.4,proxy,,,3.5,3.0,3.5,3,3.5,16.5,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=ac3e19c4-bc1f-468f-85b3-1232d97108eb；MoneyDJ,,,,5.0,31.8,需Re-rating(proxy EPS)(T+2代理),1538.0,2352.0,3072.0,12.0,72.0,124.0,,auto,9.9,False,True,5,論點覆蓋不足,False,,2,2,0.82,0.0,0.33,自動化需求與新品推動，訂單大於出貨且公司看好需求延續至2027。、營收+46%、加速+18pp、ROE20%、FCF38%、結構16,中國/全球製造景氣、匯率、需求循環反轉。,WATCH,證據不足/過期、量化達 ADD 門檻但缺新鮮證據→先補帳本,False,,OK,
3617,碩天,其他電子,187.0,A,23,16,14.5,10,9,5.0,77.5,248.5,26.2,-30.1,20.2,17.2,1.6,21.01,22.9,3578.9,21.0,29.5,56.0,3.5,46.5,1.4,30.8,2.56,-45.1,1.1,-1.06,4.1,11.9,24.0,12.0,13.8,15.5,10.0,0.93,"{""2021"": -0.9, ""2022"": 14.1, ""2023"": 16.97, ""2024"": 24.76, ""2025"": 14.48}",14.48,False,False,14.48,17.2,9.5,24.85,27.12,28.61,proxy:raw22%→g1=18%衰減,proxy,10.8,277.1,17.2,proxy,,,3.0,2.0,3.5,2.5,3.5,14.5,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=7ce45ad1-e06b-496f-afe3-4a0bb8dc7bc2；https://vocus.cc/article/6a8a9a25fd897800018ab1ec；MoneyDJ,,,,5.0,17.4,需Re-rating(proxy EPS)(T+2代理),255.0,395.0,510.0,3.0,59.0,105.0,,auto,9.9,False,True,5,論點覆蓋不足,False,,2,2,0.8,0.0,0.17,UPS/PDU與資料中心電源管理比重提升，但目前訂單能見度仍偏正常季節性。、加速+17pp、ROE21%、FCF31%、結構14,UPS/PDU需求季節性、資料中心占比提升速度不確定。、目前訂單能見度仍偏正常季節性，三年結構成長需更多證據。,WATCH,證據不足/過期、量化達 ADD 門檻但缺新鮮證據→先補帳本,False,,OK,
6196,帆宣,其他電子,865.0,A,23,18,15.0,10,6,5.0,77.0,514.0,35.8,-12.9,95.7,72.7,19.0,22.32,102.2,319.0,29.2,61.5,12.1,1.6,10.7,1.1,18.9,4.15,-25.5,3.7,-2.12,9.4,23.4,88.0,12.1,16.8,20.2,16.1,0.63,"{""2021"": 8.24, ""2022"": 11.35, ""2023"": 10.97, ""2024"": 8.94, ""2025"": 15.43}",10.97,False,False,10.97,46.9,1.4,31.99,38.91,43.97,proxy:raw99%→g1=43%衰減,proxy,25.4,197.8,72.7,proxy,,,3.0,3.0,3.0,2.5,3.5,15.0,"platform:manual,capacity:manual,mix:manual,visibility:manual,tam:manual",5,True,https://www.moneydj.com/KMDJ/news/newsviewer.aspx?a=c75779a1-8fcb-44a0-ab18-355f17fc014c；MoneyDJ,,,,5.0,23.4,需Re-rating(proxy EPS)(T+2代理),399.0,739.0,1021.0,-22.0,44.0,99.0,0.51,auto,1.95,False,False,5,論點覆蓋不足,False,,2,2,0.8,0.0,0.17,半導體/高科技廠務與設備整合需求支援營收，但專案波動與資本支出循環需留意。、營收+96%、加速+73pp、ROE29%、FCF19%、結構15,PE位階88%、大型專案認列波動、半導體資本支出循環。、大型專案認列與半導體資本支出循環可能造成波動。,WATCH,證據不足/過期,False,,OK,
